code,short_description,long_description,category
99201,office outpatient visit new patient minimal,office or other outpatient visit for evaluation and management of a new patient requiring straightforward medical decision making,Evaluation and Management
99202,office outpatient visit new patient low complexity,office or other outpatient visit for evaluation and management of a new patient requiring low level of medical decision making typically 15 to 29 minutes,Evaluation and Management
99203,office outpatient visit new patient moderate complexity,office or other outpatient visit for evaluation and management of a new patient requiring moderate level of medical decision making typically 30 to 44 minutes,Evaluation and Management
99204,office outpatient visit new patient high complexity,office or other outpatient visit for evaluation and management of a new patient requiring high level of medical decision making typically 45 to 59 minutes,Evaluation and Management
99205,office outpatient visit new patient highest complexity,office or other outpatient visit for evaluation and management of a new patient requiring high level of medical decision making typically 60 to 74 minutes,Evaluation and Management
99211,office outpatient visit established patient minimal,office or other outpatient visit for evaluation and management of an established patient that may not require the presence of a physician,Evaluation and Management
99212,office outpatient visit established patient straightforward,office or other outpatient visit for evaluation and management of an established patient requiring straightforward medical decision making,Evaluation and Management
99213,office outpatient visit established patient low complexity,office or other outpatient visit for evaluation and management of an established patient requiring low level of medical decision making typically 15 minutes,Evaluation and Management
99214,office outpatient visit established patient moderate complexity,office or other outpatient visit for evaluation and management of an established patient requiring moderate level of medical decision making typically 30 minutes,Evaluation and Management
99215,office outpatient visit established patient high complexity,office or other outpatient visit for evaluation and management of an established patient requiring high level of medical decision making typically 40 minutes,Evaluation and Management
99221,initial hospital inpatient care low complexity,initial hospital inpatient or observation care per day for evaluation and management requiring straightforward or low complexity medical decision making,Evaluation and Management
99222,initial hospital inpatient care moderate complexity,initial hospital inpatient or observation care per day for evaluation and management requiring moderate complexity medical decision making,Evaluation and Management
99223,initial hospital inpatient care high complexity,initial hospital inpatient or observation care per day for evaluation and management requiring high complexity medical decision making,Evaluation and Management
99231,subsequent hospital inpatient care low complexity,subsequent hospital inpatient or observation care per day for evaluation and management with straightforward or low complexity decision making,Evaluation and Management
99232,subsequent hospital inpatient care moderate complexity,subsequent hospital inpatient or observation care per day for evaluation and management with moderate complexity medical decision making,Evaluation and Management
99233,subsequent hospital inpatient care high complexity,subsequent hospital inpatient or observation care per day for evaluation and management with high complexity medical decision making,Evaluation and Management
99238,hospital discharge day management 30 minutes or less,hospital inpatient or observation discharge day management including final examination discharge instructions and prescriptions typically 30 minutes or less,Evaluation and Management
99239,hospital discharge day management more than 30 minutes,hospital inpatient or observation discharge day management including final examination discharge instructions typically more than 30 minutes,Evaluation and Management
99241,office consultation straightforward,office or other outpatient consultation for a new or established patient requiring straightforward medical decision making,Evaluation and Management
99242,office consultation low complexity,office or other outpatient consultation for a new or established patient requiring low complexity medical decision making,Evaluation and Management
99243,office consultation moderate complexity,office or other outpatient consultation for a new or established patient requiring moderate complexity medical decision making,Evaluation and Management
99244,office consultation high complexity,office or other outpatient consultation for a new or established patient requiring high complexity medical decision making,Evaluation and Management
