code,code_type,short_description,long_description
N39.0-5866,ICD10_CM,urinary tract infection site not specified,urinary tract infection site not specified documented during patient clinical encounter
992136,CPT,office or other outpatient visit established patient,office or other outpatient visit established patient documented during patient clinical encounter
930003,CPT,electrocardiogram routine ecg,electrocardiogram routine ecg documented during patient clinical encounter
I10-1991,ICD10_CM,essential primary hypertension,essential primary hypertension documented during patient clinical encounter
M54.5-1220,ICD10_CM,low back pain,low back pain documented during patient clinical encounter
J18.9-849,ICD10_CM,pneumonia unspecified organism,pneumonia unspecified organism documented during patient clinical encounter
850256,CPT,complete blood count automated,complete blood count automated documented during patient clinical encounter
930009,CPT,electrocardiogram routine ecg,electrocardiogram routine ecg documented during patient clinical encounter
J18.9-2595,ICD10_CM,pneumonia unspecified organism,pneumonia unspecified organism documented during patient clinical encounter
Z00.00-4853,ICD10_CM,general adult medical examination without abnormal findings,general adult medical examination without abnormal findings documented during patient clinical encounter
I10-3459,ICD10_CM,essential primary hypertension,essential primary hypertension documented during patient clinical encounter
Z00.00-2058,ICD10_CM,general adult medical examination without abnormal findings,general adult medical examination without abnormal findings documented during patient clinical encounter
C34.90-3455,ICD10_CM,malignant neoplasm of lung unspecified,malignant neoplasm of lung unspecified documented during patient clinical encounter
N39.0-2085,ICD10_CM,urinary tract infection site not specified,urinary tract infection site not specified documented during patient clinical encounter
Z00.00-195,ICD10_CM,general adult medical examination without abnormal findings,general adult medical examination without abnormal findings documented during patient clinical encounter
R07.9-1718,ICD10_CM,chest pain unspecified,chest pain unspecified documented during patient clinical encounter
R07.9-137,ICD10_CM,chest pain unspecified,chest pain unspecified documented during patient clinical encounter
K21.9-3916,ICD10_CM,gastro esophageal reflux disease without esophagitis,gastro esophageal reflux disease without esophagitis documented during patient clinical encounter
J18.9-1451,ICD10_CM,pneumonia unspecified organism,pneumonia unspecified organism documented during patient clinical encounter
992138,CPT,office or other outpatient visit established patient,office or other outpatient visit established patient documented during patient clinical encounter
810017,CPT,urinalysis automated,urinalysis automated documented during patient clinical encounter
N39.0-5523,ICD10_CM,urinary tract infection site not specified,urinary tract infection site not specified documented during patient clinical encounter
453784,CPT,diagnostic colonoscopy,diagnostic colonoscopy documented during patient clinical encounter
930006,CPT,electrocardiogram routine ecg,electrocardiogram routine ecg documented during patient clinical encounter
992133,CPT,office or other outpatient visit established patient,office or other outpatient visit established patient documented during patient clinical encounter
C34.90-4214,ICD10_CM,malignant neoplasm of lung unspecified,malignant neoplasm of lung unspecified documented during patient clinical encounter
710206,CPT,chest x ray two views,chest x ray two views documented during patient clinical encounter
N39.0-1228,ICD10_CM,urinary tract infection site not specified,urinary tract infection site not specified documented during patient clinical encounter
R07.9-804,ICD10_CM,chest pain unspecified,chest pain unspecified documented during patient clinical encounter
R07.9-4199,ICD10_CM,chest pain unspecified,chest pain unspecified documented during patient clinical encounter
R07.9-4553,ICD10_CM,chest pain unspecified,chest pain unspecified documented during patient clinical encounter
992143,CPT,office or other outpatient visit detailed,office or other outpatient visit detailed documented during patient clinical encounter
992131,CPT,office or other outpatient visit established patient,office or other outpatient visit established patient documented during patient clinical encounter
J18.9-5875,ICD10_CM,pneumonia unspecified organism,pneumonia unspecified organism documented during patient clinical encounter
J18.9-5249,ICD10_CM,pneumonia unspecified organism,pneumonia unspecified organism documented during patient clinical encounter
800537,CPT,comprehensive metabolic panel,comprehensive metabolic panel documented during patient clinical encounter
M54.5-3899,ICD10_CM,low back pain,low back pain documented during patient clinical encounter
850256,CPT,complete blood count automated,complete blood count automated documented during patient clinical encounter
K21.9-1856,ICD10_CM,gastro esophageal reflux disease without esophagitis,gastro esophageal reflux disease without esophagitis documented during patient clinical encounter
I10-3671,ICD10_CM,essential primary hypertension,essential primary hypertension documented during patient clinical encounter
C34.90-5188,ICD10_CM,malignant neoplasm of lung unspecified,malignant neoplasm of lung unspecified documented during patient clinical encounter
A41.9-3112,ICD10_CM,sepsis unspecified organism,sepsis unspecified organism documented during patient clinical encounter
800534,CPT,comprehensive metabolic panel,comprehensive metabolic panel documented during patient clinical encounter
C34.90-5182,ICD10_CM,malignant neoplasm of lung unspecified,malignant neoplasm of lung unspecified documented during patient clinical encounter
C34.90-2364,ICD10_CM,malignant neoplasm of lung unspecified,malignant neoplasm of lung unspecified documented during patient clinical encounter
810015,CPT,urinalysis automated,urinalysis automated documented during patient clinical encounter
364150,CPT,venipuncture,venipuncture documented during patient clinical encounter
J18.9-4703,ICD10_CM,pneumonia unspecified organism,pneumonia unspecified organism documented during patient clinical encounter
J18.9-294,ICD10_CM,pneumonia unspecified organism,pneumonia unspecified organism documented during patient clinical encounter
A41.9-4365,ICD10_CM,sepsis unspecified organism,sepsis unspecified organism documented during patient clinical encounter
E11.9-1367,ICD10_CM,type 2 diabetes mellitus without complications,type 2 diabetes mellitus without complications documented during patient clinical encounter
J18.9-2968,ICD10_CM,pneumonia unspecified organism,pneumonia unspecified organism documented during patient clinical encounter
I10-3788,ICD10_CM,essential primary hypertension,essential primary hypertension documented during patient clinical encounter
J18.9-3241,ICD10_CM,pneumonia unspecified organism,pneumonia unspecified organism documented during patient clinical encounter
930108,CPT,ecg interpretation and report,ecg interpretation and report documented during patient clinical encounter
992139,CPT,office or other outpatient visit established patient,office or other outpatient visit established patient documented during patient clinical encounter
N39.0-1075,ICD10_CM,urinary tract infection site not specified,urinary tract infection site not specified documented during patient clinical encounter
810011,CPT,urinalysis automated,urinalysis automated documented during patient clinical encounter
K21.9-2267,ICD10_CM,gastro esophageal reflux disease without esophagitis,gastro esophageal reflux disease without esophagitis documented during patient clinical encounter
992146,CPT,office or other outpatient visit detailed,office or other outpatient visit detailed documented during patient clinical encounter
Z00.00-5874,ICD10_CM,general adult medical examination without abnormal findings,general adult medical examination without abnormal findings documented during patient clinical encounter
A41.9-2960,ICD10_CM,sepsis unspecified organism,sepsis unspecified organism documented during patient clinical encounter
R07.9-654,ICD10_CM,chest pain unspecified,chest pain unspecified documented during patient clinical encounter
J18.9-1665,ICD10_CM,pneumonia unspecified organism,pneumonia unspecified organism documented during patient clinical encounter
K21.9-2807,ICD10_CM,gastro esophageal reflux disease without esophagitis,gastro esophageal reflux disease without esophagitis documented during patient clinical encounter
K21.9-2861,ICD10_CM,gastro esophageal reflux disease without esophagitis,gastro esophageal reflux disease without esophagitis documented during patient clinical encounter
850250,CPT,complete blood count automated,complete blood count automated documented during patient clinical encounter
Z00.00-5824,ICD10_CM,general adult medical examination without abnormal findings,general adult medical examination without abnormal findings documented during patient clinical encounter
850256,CPT,complete blood count automated,complete blood count automated documented during patient clinical encounter
A41.9-4361,ICD10_CM,sepsis unspecified organism,sepsis unspecified organism documented during patient clinical encounter
992131,CPT,office or other outpatient visit established patient,office or other outpatient visit established patient documented during patient clinical encounter
J18.9-5172,ICD10_CM,pneumonia unspecified organism,pneumonia unspecified organism documented during patient clinical encounter
C34.90-4315,ICD10_CM,malignant neoplasm of lung unspecified,malignant neoplasm of lung unspecified documented during patient clinical encounter
992140,CPT,office or other outpatient visit detailed,office or other outpatient visit detailed documented during patient clinical encounter
992139,CPT,office or other outpatient visit established patient,office or other outpatient visit established patient documented during patient clinical encounter
J18.9-3576,ICD10_CM,pneumonia unspecified organism,pneumonia unspecified organism documented during patient clinical encounter
M54.5-5428,ICD10_CM,low back pain,low back pain documented during patient clinical encounter
I10-3173,ICD10_CM,essential primary hypertension,essential primary hypertension documented during patient clinical encounter
364156,CPT,venipuncture,venipuncture documented during patient clinical encounter
E11.9-3312,ICD10_CM,type 2 diabetes mellitus without complications,type 2 diabetes mellitus without complications documented during patient clinical encounter
992132,CPT,office or other outpatient visit established patient,office or other outpatient visit established patient documented during patient clinical encounter
K21.9-131,ICD10_CM,gastro esophageal reflux disease without esophagitis,gastro esophageal reflux disease without esophagitis documented during patient clinical encounter
N39.0-4166,ICD10_CM,urinary tract infection site not specified,urinary tract infection site not specified documented during patient clinical encounter
Z00.00-795,ICD10_CM,general adult medical examination without abnormal findings,general adult medical examination without abnormal findings documented during patient clinical encounter
I10-879,ICD10_CM,essential primary hypertension,essential primary hypertension documented during patient clinical encounter
453783,CPT,diagnostic colonoscopy,diagnostic colonoscopy documented during patient clinical encounter
N39.0-2109,ICD10_CM,urinary tract infection site not specified,urinary tract infection site not specified documented during patient clinical encounter
M54.5-931,ICD10_CM,low back pain,low back pain documented during patient clinical encounter
850252,CPT,complete blood count automated,complete blood count automated documented during patient clinical encounter
K21.9-5521,ICD10_CM,gastro esophageal reflux disease without esophagitis,gastro esophageal reflux disease without esophagitis documented during patient clinical encounter
E11.9-939,ICD10_CM,type 2 diabetes mellitus without complications,type 2 diabetes mellitus without complications documented during patient clinical encounter
364155,CPT,venipuncture,venipuncture documented during patient clinical encounter
J18.9-1059,ICD10_CM,pneumonia unspecified organism,pneumonia unspecified organism documented during patient clinical encounter
800532,CPT,comprehensive metabolic panel,comprehensive metabolic panel documented during patient clinical encounter
I10-4229,ICD10_CM,essential primary hypertension,essential primary hypertension documented during patient clinical encounter
J18.9-4409,ICD10_CM,pneumonia unspecified organism,pneumonia unspecified organism documented during patient clinical encounter
E11.9-576,ICD10_CM,type 2 diabetes mellitus without complications,type 2 diabetes mellitus without complications documented during patient clinical encounter
930007,CPT,electrocardiogram routine ecg,electrocardiogram routine ecg documented during patient clinical encounter
850252,CPT,complete blood count automated,complete blood count automated documented during patient clinical encounter
I10-3667,ICD10_CM,essential primary hypertension,essential primary hypertension documented during patient clinical encounter
930000,CPT,electrocardiogram routine ecg,electrocardiogram routine ecg documented during patient clinical encounter
992148,CPT,office or other outpatient visit detailed,office or other outpatient visit detailed documented during patient clinical encounter
J18.9-2460,ICD10_CM,pneumonia unspecified organism,pneumonia unspecified organism documented during patient clinical encounter
